movie_title,release_date,genre,MPAA_rating,revenue
The Invisible,27-Apr-07,Thriller/Suspense,PG-13,"$25,202,168 "
Guilty as Sin,4-Jun-93,Thriller/Suspense,R,"$46,064,723 "
Operation Dumbo Drop,28-Jul-95,Adventure,PG,"$47,809,421 "
Ghosts of the Abyss,11-Apr-03,Documentary,G,"$23,803,108 "
Scenes from a Mall,22-Feb-91,Comedy,,"$19,149,495 "
The BFG,1-Jul-16,Adventure,PG,"$55,483,770 "
Tron,9-Jul-82,Action,,"$77,184,895 "
Firelight,4-Sep-98,Drama,R,"$1,409,943 "
Delivery Man,22-Nov-13,Comedy,PG-13,"$31,787,136 "
New York Stories,1-Mar-89,Drama,PG,"$22,740,861 "
Disorganized Crime,14-Apr-89,Comedy,,"$15,233,465 "
Tom and Huck,22-Dec-95,Adventure,PG,"$45,911,517 "
Keeping the Faith,14-Apr-00,Romantic Comedy,PG-13,"$57,925,202 "
Grosse Pointe Blank,11-Apr-97,Black Comedy,R,"$51,579,764 "
Indian Summer,23-Apr-93,Comedy,R,"$29,968,953 "
The Princess and the Frog,25-Nov-09,Adventure,G,"$116,316,457 "
Billy Bathgate,1-Nov-91,Drama,R,"$31,167,691 "
3 Ninjas Kick Back,6-May-94,Action,PG,"$24,267,154 "
My Boyfriend's Back,6-Aug-93,,PG-13,"$6,554,384 "
Goal! The Dream Begins,12-May-06,Drama,PG,"$5,512,647 "
Country,29-Sep-84,Drama,,"$21,075,000 "
Big Trouble,5-Apr-02,Comedy,PG-13,"$10,537,188 "
People Like Us,29-Jun-12,Drama,PG-13,"$13,165,822 "
Mars Needs Moms,11-Mar-11,Adventure,PG,"$22,741,603 "
Angie,4-Mar-94,Comedy,R,"$19,116,981 "
Deuce Bigalow: Male Gigolo,10-Dec-99,Comedy,R,"$106,921,374 "
Veronica Guerin,17-Oct-03,Drama,R,"$2,194,759 "
Max Keeble's Big Move,5-Oct-01,Comedy,PG,"$25,749,730 "
The Scarlet Letter,13-Oct-95,Drama,R,"$20,075,033 "
D3: The Mighty Ducks,4-Oct-96,Comedy,PG,"$43,713,554 "
Up,29-May-09,Adventure,PG,"$329,336,681 "
Alive,15-Jan-93,Adventure,R,"$73,914,543 "
Can't Buy Me Love,14-Aug-87,Romantic Comedy,,"$68,181,300 "
The Hoax,6-Apr-07,Drama,R,"$8,779,196 "
Fantasia,13-Nov-40,Musical,G,"$2,187,090,808 "
Crimson Tide,12-May-95,Action,R,"$177,102,077 "
Ransom,8-Nov-96,Action,R,"$259,807,820 "
Pretty Woman,23-Mar-90,Romantic Comedy,R,"$356,389,765 "
Inspector Gadget,23-Jul-99,Comedy,PG,"$161,610,341 "
Winnie the Pooh,15-Jul-11,Adventure,G,"$28,375,869 "
The Tigger Movie,11-Feb-00,Adventure,G,"$71,228,678 "
Heavy Weights,17-Feb-95,Comedy,PG,"$34,245,779 "
What About Bob?,17-May-91,Comedy,PG,"$127,571,325 "
Condorman,7-Aug-81,Action,,$0 
The Haunted Mansion,26-Nov-03,Comedy,PG,"$105,775,678 "
The Hitchhiker's Guide to the Galaxy,29-Apr-05,Comedy,PG,"$67,096,891 "
Bedknobs and Broomsticks,7-Oct-71,Musical,,"$91,305,448 "
Pooh's Heffalump Movie,11-Feb-05,Adventure,G,"$23,801,835 "
Open Range,15-Aug-03,Western,R,"$81,547,672 "
D.O.A.,18-Mar-88,Thriller/Suspense,,"$26,062,188 "
Meet the Deedles,27-Mar-98,Comedy,PG,"$7,829,877 "
A Beautiful Planet,29-Apr-16,Documentary,G,"$7,895,708 "
Sister Act,29-May-92,Comedy,PG,"$283,583,472 "
Strange Magic,23-Jan-15,Adventure,PG,"$12,429,583 "
The Many Adventures of Winnie the Pooh,11-Mar-77,,,$0 
Quiz Show,14-Sep-94,Drama,PG-13,"$50,840,394 "
While You Were Sleeping,21-Apr-95,Romantic Comedy,PG,"$157,082,900 "
Bedtime Stories,25-Dec-08,Comedy,PG,"$128,039,679 "
"The Chronicles of Narnia: The Lion, t…",9-Dec-05,Adventure,PG,"$381,557,539 "
Instinct,4-Jun-99,Drama,R,"$56,595,842 "
Step Up,11-Aug-06,Drama,PG-13,"$84,078,780 "
G.I. Jane,22-Aug-97,Drama,R,"$88,467,531 "
Oscar,26-Apr-91,Comedy,PG,"$47,181,395 "
The Parent Trap,29-Jul-98,Comedy,PG,"$119,185,667 "
Primeval,12-Jan-07,Adventure,R,"$12,985,302 "
The Lone Ranger,2-Jul-13,Western,PG-13,"$92,597,388 "
"Monsters, Inc.",2-Nov-01,Adventure,G,"$416,073,179 "
Reign of Fire,19-Feb-02,Action,PG-13,"$62,480,631 "
Running Brave,4-Nov-83,Drama,,"$3,223,725 "
Dinosaur,19-May-00,Adventure,PG,"$215,438,985 "
Rushmore,11-Dec-98,Black Comedy,R,"$28,392,518 "
Freaky Friday,21-Jan-77,Comedy,,"$98,067,733 "
The 13th Warrior,27-Aug-99,Action,R,"$54,262,148 "
Brave,22-Jun-12,Adventure,PG,"$251,292,441 "
Eight Below,17-Feb-06,Adventure,PG,"$105,037,235 "
Gake no ue no Ponyo,14-Aug-09,Adventure,G,"$16,961,607 "
Queen of Katwe,23-Sep-16,Drama,PG,"$8,874,389 "
Straight Talk,3-Apr-92,Comedy,PG,"$43,068,356 "
Holy Man,9-Oct-98,Comedy,PG,"$21,694,605 "
The Sorcerer's Apprentice,14-Jul-10,Adventure,PG,"$67,473,105 "
Stella,2-Feb-90,Drama,PG-13,"$40,077,147 "
An American Werewolf in Paris,25-Dec-97,Horror,R,"$48,546,161 "
The Mighty Ducks,2-Oct-92,Comedy,PG,"$103,120,810 "
Tall Tale,24-Mar-95,Western,PG,"$15,983,331 "
Tangled,24-Nov-10,Adventure,PG,"$214,388,548 "
Ed Wood,30-Sep-94,Comedy,R,"$12,042,634 "
The Jerky Boys,3-Feb-95,Comedy,R,"$14,641,561 "
The Rich Man's Wife,13-Sep-96,Thriller/Suspense,R,"$16,284,619 "
"20,000 Leagues Under the Sea",23-Dec-54,Adventure,,"$528,279,994 "
Super Mario Bros.,28-May-93,Action,PG,"$42,445,058 "
The Proposal,19-Jun-09,Romantic Comedy,PG-13,"$184,288,829 "
Race to Witch Mountain,13-Mar-09,Adventure,PG,"$75,501,997 "
The Adventures of Huck Finn,2-Apr-93,Adventure,PG,"$49,080,505 "
Jefferson in Paris,31-Mar-95,Drama,PG-13,"$4,770,461 "
The Jungle Book,15-Apr-16,Adventure,PG,"$364,001,123 "
Sky High,29-Jul-05,Adventure,PG,"$84,088,854 "
Toy Story 2,19-Nov-99,Adventure,G,"$404,450,426 "
The Rescuers,22-Jun-77,Adventure,,"$159,743,914 "
Remember the Titans,29-Sep-00,Drama,PG,"$180,742,479 "
A Lot Like Love,22-Apr-05,Comedy,PG-13,"$28,716,947 "
3 Ninjas,7-Aug-92,Action,PG,"$58,965,304 "
Flight of the Navigator,30-Jul-86,Adventure,,"$42,183,197 "
America's Heart and Soul,2-Jul-04,Documentary,Not Rated,"$426,246 "
Swing Vote,1-Aug-08,Comedy,PG-13,"$19,125,841 "
The Straight Story,15-Oct-99,Drama,G,"$10,111,144 "
The Kid,7-Jul-00,Comedy,PG,"$108,993,148 "
Enchanted,21-Nov-07,Romantic Comedy,PG,"$156,074,310 "
Zootopia,4-Mar-16,Adventure,PG,"$341,268,248 "
I'll Be Home For Christmas,13-Nov-98,Comedy,PG,"$21,941,840 "
The War at Home,20-Nov-96,,R,"$65,543 "
Peter Pan: Return to Neverland,15-Feb-02,Adventure,G,"$70,269,715 "
Ratatouille,29-Jun-07,Comedy,G,"$252,955,933 "
Secretariat,8-Oct-10,Drama,PG,"$63,781,920 "
Medicine Man,7-Feb-92,Drama,PG-13,"$91,304,495 "
A Thousand Acres,19-Sep-97,Drama,R,"$14,561,324 "
Mission to Mars,10-Mar-00,Adventure,PG,"$95,208,344 "
Brother Bear,24-Oct-03,Adventure,G,"$119,218,333 "
Snow White and the Seven Dwarfs,21-Dec-37,Musical,G,"$5,228,953,251 "
Toy Story 3,18-Jun-10,Adventure,G,"$443,408,255 "
Miracle,6-Feb-04,Drama,PG,"$87,392,478 "
My Favorite Martian,12-Feb-99,Comedy,PG,"$61,150,849 "
Benji the Hunted,5-Jun-87,Adventure,,"$32,798,382 "
A Far Off Place,12-Mar-93,Adventure,PG,"$26,248,558 "
Old Dogs,25-Nov-09,Comedy,PG,"$55,503,929 "
Alice in Wonderland,5-Mar-10,Adventure,PG,"$357,063,499 "
The Little Mermaid,15-Nov-89,Adventure,G,"$223,726,012 "
Stick It,28-Apr-06,Comedy,PG-13,"$34,634,731 "
Funny Bones,31-Mar-95,Comedy,R,"$1,025,425 "
Cars,9-Jun-06,Comedy,G,"$314,140,384 "
Bicentennial Man,17-Dec-99,Drama,PG,"$94,838,225 "
Chimpanzee,20-Apr-12,Documentary,G,"$30,675,725 "
The Apple Dumpling Gang,1-Jul-75,Comedy,,"$131,246,872 "
The Other Sister,26-Feb-99,Romantic Comedy,PG-13,"$46,145,331 "
A Simple Twist of Fate,2-Sep-94,Drama,PG-13,"$7,035,189 "
Where the Heart Is,23-Feb-90,Comedy,,"$2,210,321 "
Kaze Tachinu,8-Nov-13,Drama,PG-13,"$5,367,415 "
Off Beat,11-Apr-86,Comedy,,"$11,003,932 "
The Greatest Game Ever Played,30-Sep-05,Drama,PG,"$20,162,672 "
The Three Musketeers,12-Nov-93,Adventure,PG,"$109,310,377 "
A Civil Action,25-Dec-98,Drama,PG-13,"$94,139,530 "
Walt and El Grupo,10-Sep-09,Documentary,PG,"$23,064 "
Powder,27-Oct-95,Drama,PG-13,"$59,727,216 "
1492: Conquest of Paradise,9-Oct-92,Adventure,PG-13,"$14,421,454 "
The Cemetery Club,3-Feb-93,Comedy,PG-13,"$11,369,541 "
Stay Alive,24-Mar-06,Horror,PG-13,"$29,712,825 "
That Darn Cat,14-Feb-97,Comedy,PG,"$33,613,158 "
The Muppet Christmas Carol,11-Dec-92,Comedy,G,"$55,417,615 "
Step Up 2 the Streets,14-Feb-08,Drama,PG-13,"$68,118,371 "
Fantasia 2000 (Theatrical Release),16-Jun-00,Musical,G,"$14,238,144 "
The Santa Clause 2,1-Nov-02,Comedy,G,"$201,959,095 "
The Recruit,31-Jan-03,Thriller/Suspense,PG-13,"$73,793,522 "
Money for Nothing,10-Sep-93,Comedy,R,"$2,127,496 "
Bad Company,20-Jan-95,Thriller/Suspense,R,"$6,829,092 "
I Love Trouble,29-Jun-94,Romantic Comedy,PG,"$63,651,027 "
The Absent Minded Professor,16-Mar-61,Comedy,,"$310,094,574 "
Jungle 2 Jungle,7-Mar-97,Comedy,PG,"$110,058,379 "
Tex,19-Nov-82,Drama,,"$20,643,199 "
Life With Mikey,4-Jun-93,Comedy,PG,"$25,146,538 "
Gone Fishin',30-May-97,Comedy,PG,"$36,265,379 "
Rogue One: A Star Wars Story,16-Dec-16,Adventure,PG-13,"$529,483,936 "
The Marrying Man,5-Apr-91,Romantic Comedy,R,"$24,939,118 "
Bubble Boy,24-Aug-01,Comedy,PG-13,"$7,450,434 "
Baby: Secret of the Lost Legend,22-Mar-85,Adventure,,"$33,900,697 "
The Fox and the Hound,10-Jul-81,Comedy,,"$133,118,889 "
High Heels and Low Lifes,26-Oct-01,,R,"$337,782 "
The Tie That Binds,8-Sep-95,Thriller/Suspense,R,"$11,167,895 "
John Carter,9-Mar-12,Adventure,PG-13,"$77,372,445 "
Blank Check,11-Feb-94,Comedy,PG,"$63,170,804 "
Guardians of the Galaxy,1-Aug-14,Adventure,PG-13,"$343,771,168 "
Star Wars Ep. VII: The Force Awakens,18-Dec-15,Adventure,PG-13,"$936,662,225 "
A Goofy Movie,7-Apr-95,Comedy,G,"$68,479,579 "
Hocus Pocus,16-Jul-93,Comedy,PG,"$80,147,079 "
Pete’s Dragon,12-Aug-16,Adventure,PG,"$76,233,151 "
Night Crossing,5-Feb-82,Drama,,"$12,903,059 "
Lilo & Stitch,21-Jun-02,Adventure,PG,"$211,506,702 "
Metro,17-Jan-97,Action,R,"$58,804,106 "
National Treasure,19-Nov-04,Adventure,PG,"$234,069,353 "
Shanghai Noon,26-May-00,Western,PG-13,"$89,042,541 "
Dangerous Minds,11-Aug-95,Drama,R,"$164,552,293 "
The Distinguished Gentleman,4-Dec-92,Comedy,R,"$94,349,900 "
The Secret World of Arietty,17-Feb-12,Adventure,G,"$20,325,733 "
The Princess Diaries,3-Aug-01,Comedy,G,"$161,218,928 "
Step Up 3D,6-Aug-10,Drama,PG-13,"$45,302,137 "
Underdog,3-Aug-07,Adventure,PG,"$53,619,462 "
Red Rock West,28-Jan-94,,R,"$5,170,709 "
Captain America: Civil War,6-May-16,Action,PG-13,"$408,084,349 "
Mr. Wrong,16-Feb-96,Romantic Comedy,PG-13,"$24,422,334 "
Nixon,20-Dec-95,Drama,R,"$26,302,005 "
The Ref,9-Mar-94,Comedy,R,"$23,401,275 "
The Santa Clause 3: The Escape Clause,3-Nov-06,Comedy,G,"$108,694,869 "
Ice Princess,18-Mar-05,Comedy,G,"$32,064,685 "
King Arthur,7-Jul-04,Adventure,PG-13,"$70,423,706 "
Nothing To Lose,18-Jul-97,Comedy,R,"$81,692,095 "
Herbie: Fully Loaded,22-Jun-05,Comedy,G,"$86,812,798 "
Father of the Bride,20-Dec-91,Comedy,PG,"$179,821,881 "
You Again,24-Sep-10,Comedy,PG,"$27,461,121 "
Treasure Planet,27-Nov-02,Adventure,PG,"$55,189,145 "
The Great Mouse Detective,2-Jul-86,Adventure,,"$53,637,367 "
Cinderella,13-Mar-15,Drama,PG,"$201,151,353 "
Frozen,22-Nov-13,Adventure,PG,"$414,997,174 "
Pirates of the Caribbean: On Stranger…,20-May-11,Adventure,PG-13,"$256,263,359 "
Zokkomon,22-Apr-11,Adventure,PG,"$2,984 "
Gross Anatomy,20-Oct-89,Drama,PG-13,"$23,972,012 "
The Incredibles,5-Nov-04,Adventure,PG,"$354,488,708 "
Frank McKlusky C.I.,1-Jan-02,,,$0 
Taking Care of Business,17-Aug-90,Comedy,R,"$39,963,460 "
Tim Burton's The Nightmare Before Chr…,20-Oct-06,Musical,PG,"$30,737,517 "
Cocktail,29-Jul-88,Drama,R,"$160,442,289 "
Gun Shy,4-Feb-00,Comedy,R,"$2,562,155 "
Mr. Destiny,12-Oct-90,Comedy,PG-13,"$30,722,056 "
Herbie Goes to Monte Carlo,24-Jun-77,,,"$105,847,527 "
Evita,25-Dec-96,Musical,PG,"$92,077,628 "
Dark Water,8-Jul-05,Thriller/Suspense,PG-13,"$33,500,491 "
Piglet's Big Movie,21-Mar-03,Comedy,G,"$32,298,812 "
Kazaam,17-Jul-96,Comedy,PG,"$36,009,655 "
Déjà Vu,22-Nov-06,Thriller/Suspense,PG-13,"$82,267,038 "
Waking Sleeping Beauty,26-Mar-10,Documentary,PG,"$86,264 "
The Count of Monte Cristo,25-Jan-02,Drama,PG-13,"$78,682,079 "
The Program,24-Sep-93,Action,R,"$46,919,256 "
When in Rome,29-Jan-10,Romantic Comedy,PG-13,"$34,917,330 "
Born Yesterday,26-Mar-93,Romantic Comedy,PG,"$36,165,012 "
The Alamo,9-Apr-04,Western,PG-13,"$30,416,359 "
Mad Love,26-May-95,Drama,PG-13,"$29,934,306 "
Armageddon,1-Jul-98,Adventure,PG-13,"$362,324,957 "
Air Bud,1-Aug-97,Comedy,PG,"$45,266,588 "
Fire Birds,24-May-90,Action,PG-13,"$29,485,923 "
The Black Cauldron,24-Jul-85,Adventure,,"$50,553,142 "
Oz the Great and Powerful,8-Mar-13,Adventure,PG,"$243,434,130 "
Two Much,15-Mar-96,Romantic Comedy,PG-13,"$2,057,055 "
102 Dalmatians,22-Nov-00,Comedy,G,"$104,055,039 "
The Pacifier,4-Mar-05,Comedy,PG,"$148,619,029 "
Prom,29-Apr-11,Comedy,PG,"$10,768,946 "
Un indien dans la ville,22-Mar-96,Comedy,PG,"$1,963,937 "
Annapolis,27-Jan-06,Drama,PG-13,"$22,044,113 "
The Country Bears,26-Jul-02,Adventure,G,"$24,650,121 "
Planes: Fire and Rescue,18-Jul-14,Adventure,PG,"$61,040,349 "
Tin Men,6-Mar-87,Comedy,,"$54,787,202 "
Renaissance Man,3-Jun-94,Comedy,PG-13,"$49,945,474 "
Playing God,17-Oct-97,Thriller/Suspense,R,"$7,652,965 "
Phenomenon,5-Jul-96,Drama,PG,"$199,559,799 "
Gnomeo and Juliet,11-Feb-11,Comedy,G,"$106,270,797 "
The Color of Money,17-Oct-86,Drama,R,"$117,957,323 "
Blackbeard's Ghost,8-Feb-68,Comedy,,"$138,612,686 "
Ernest Scared Stupid,11-Oct-91,Comedy,PG,"$28,320,147 "
The Emperor's New Groove,15-Dec-00,Adventure,G,"$136,789,252 "
Double Take,12-Jan-01,Action,PG-13,"$44,418,589 "
Rocket Man,10-Oct-97,Comedy,PG,"$28,371,890 "
Mulan,19-Jun-98,Adventure,G,"$216,807,832 "
Song of the South,12-Nov-46,Adventure,G,"$1,078,510,579 "
The Black Hole,21-Dec-79,,,"$120,377,374 "
Raising Helen,28-May-04,Comedy,PG-13,"$50,886,144 "
A Gun in Betty Lou's Handbag,21-Aug-92,,PG-13,"$7,295,423 "
The Air Up There,7-Jan-94,Comedy,PG,"$42,940,186 "
Roommates,3-Mar-95,Comedy,PG,"$23,404,369 "
Morning Light,17-Oct-08,Documentary,PG,"$322,979 "
Valiant,19-Aug-05,Adventure,G,"$25,616,292 "
Down and Out in Beverly Hills,31-Jan-86,Comedy,R,"$141,183,693 "
Tarzan,16-Jun-99,Adventure,G,"$283,900,254 "
The Royal Tenenbaums,14-Dec-01,Black Comedy,R,"$76,758,193 "
James and the Giant Peach,12-Apr-96,Adventure,PG,"$55,159,783 "
"Mystery, Alaska",1-Oct-99,Comedy,R,"$14,755,189 "
Last Dance,3-May-96,Drama,R,"$11,171,714 "
My Science Project,9-Aug-85,Comedy,,"$9,736,051 "
Homeward Bound II: Lost in San Franc…,8-Mar-96,Adventure,G,"$62,384,706 "
The Muppets,23-Nov-11,Comedy,PG,"$94,189,503 "
Turner & Hooch,28-Jul-89,Comedy,PG,"$150,176,361 "
Oceans,22-Apr-10,Documentary,G,"$20,751,600 "
It's Pat,26-Aug-94,Comedy,,"$125,666 "
The Finest Hours,29-Jan-16,Thriller/Suspense,PG,"$27,569,558 "
Shoot to Kill,12-Feb-88,Action,,"$60,097,074 "
Hannah Montana the Movie,10-Apr-09,Drama,G,"$89,443,640 "
First Kid,30-Aug-96,Comedy,PG,"$50,465,108 "
Consenting Adults,16-Oct-92,Drama,R,"$43,859,823 "
Dan in Real Life,20-Oct-07,Romantic Comedy,PG-13,"$58,350,234 "
Sorority Boys,22-Mar-02,Comedy,R,"$14,797,862 "
Simon Birch,11-Sep-98,Drama,PG,"$32,809,442 "
In the Army Now,12-Aug-94,Comedy,PG,"$59,673,787 "
