movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel
Down and Out in Beverly Hills,31-Jan-86,Comedy,R,B
Tarzan,16-Jun-99,Adventure,G,A
The Royal Tenenbaums,14-Dec-01,Black Comedy,R,B
James and the Giant Peach,12-Apr-96,Adventure,PG,C
"Mystery, Alaska",1-Oct-99,Comedy,R,D
Last Dance,3-May-96,Drama,R,D
My Science Project,9-Aug-85,Comedy,,D
Homeward Bound II: Lost in San Franc…,8-Mar-96,Adventure,G,C
The Muppets,23-Nov-11,Comedy,PG,B
Turner & Hooch,28-Jul-89,Comedy,PG,B
Oceans,22-Apr-10,Documentary,G,C
It's Pat,26-Aug-94,Comedy,,D
The Finest Hours,29-Jan-16,Thriller/Suspense,PG,C
Shoot to Kill,12-Feb-88,Action,,C
Hannah Montana the Movie,10-Apr-09,Drama,G,B
First Kid,30-Aug-96,Comedy,PG,C
Consenting Adults,16-Oct-92,Drama,R,C
Dan in Real Life,20-Oct-07,Romantic Comedy,PG-13,C
Sorority Boys,22-Mar-02,Comedy,R,D
Simon Birch,11-Sep-98,Drama,PG,C
In the Army Now,12-Aug-94,Comedy,PG,C
Bad Company,7-Jun-02,Action,PG-13,C
Wreck-It Ralph,2-Nov-12,Adventure,PG,A
Iron Man 3,3-May-13,Action,PG-13,A
Cinderella,15-Feb-50,Drama,G,S
One Magic Christmas,22-Nov-85,Drama,,C
Beverly Hills Chihuahua,3-Oct-08,Comedy,PG,B
WALL-E,27-Jun-08,Adventure,G,A
Aladdin,11-Nov-92,Comedy,G,A
Casanova,25-Dec-05,Drama,R,D
Thor: The Dark World,8-Nov-13,Adventure,PG-13,A
Monkey Kingdom,17-Apr-15,Documentary,G,D
Ernest Saves Christmas,11-Nov-88,Comedy,PG,C
Hannah Montana/Miley Cyrus: Best of B…,1-Feb-08,Concert/Performance,G,B
Saving Mr. Banks,13-Dec-13,Drama,PG-13,B
The Aristocats,24-Apr-70,Musical,G,A
Calendar Girls,19-Dec-03,Comedy,PG-13,C
Unstrung Heroes,15-Sep-95,Drama,PG,D
Three Fugitives,27-Jan-89,Comedy,PG-13,B
Tomorrowland,22-May-15,Adventure,PG,B
The Village,30-Jul-04,Thriller/Suspense,PG-13,B
"Alexander and the Terrible, Horrible,…",10-Oct-14,Comedy,PG,C
Arachnophobia,18-Jul-90,Thriller/Suspense,PG-13,B
Lincoln,9-Nov-12,Drama,PG-13,B
The Horse Whisperer,15-May-98,Drama,PG-13,B
Muppets Most Wanted,21-Mar-14,Comedy,PG,C
Fantasia 2000 (IMAX),1-Jan-00,Musical,G,B
Spaced Invaders,27-Apr-90,Comedy,PG,C
Just Visiting,6-Apr-01,Comedy,PG-13,D
Holes,18-Apr-03,Drama,PG,B
The Last Shot,24-Sep-04,Comedy,R,D
The Jungle Book,18-Oct-67,Musical,Not Rated,S
Meet the Robinsons,30-Mar-07,Adventure,G,B
Dead Poets Society,2-Jun-89,Drama,PG,A
Avengers: Age of Ultron,1-May-15,Action,PG-13,A
Man of the House,3-Mar-95,Comedy,PG,B
Bears,18-Apr-14,Documentary,G,D
Passed Away,24-Apr-92,,PG-13,D
ESPN's Ultimate X - The Movie,10-May-02,Documentary,PG,D
Atlantis: The Lost Empire,8-Jun-01,Adventure,PG,B
Ernest Goes to Camp,22-May-87,Comedy,,C
Teacher's Pet: The Movie,16-Jan-04,Comedy,PG,D
Spy Hard,24-May-96,Comedy,PG-13,C
Snow Dogs,18-Jan-02,Comedy,PG,B
Frankenweenie,5-Oct-12,Comedy,PG,C
Tuck Everlasting,11-Oct-02,Drama,PG,C
Hauru no ugoku shiro,10-Jun-05,Adventure,PG,D
Gedo Senki (Tales from Earthsea),13-Aug-10,Adventure,PG-13,D
Return to Oz,21-Jun-85,Adventure,,C
Disney's A Christmas Carol,6-Nov-09,Drama,PG,B
Prefontaine,24-Jan-97,Drama,PG-13,D
Beaches,21-Dec-88,Drama,PG-13,B
101 Dalmatians,25-Jan-61,Comedy,G,S
The Last Song,31-Mar-10,Drama,PG,C
Father Hood,27-Aug-93,,PG-13,D
Encino Man,22-May-92,Comedy,PG,B
Sweet Home Alabama,27-Sep-02,Comedy,PG-13,B
Play it to the Bone,24-Dec-99,Comedy,R,D
The Odd Life of Timothy Green,15-Aug-12,Drama,PG,C
Honey I Blew Up the Kid,17-Jul-92,Comedy,PG,B
Hercules,13-Jun-97,Adventure,G,B
